c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
485,Customer#000000485,"XeFbvXCQ,J",19,29-434-961-1623,8695.45,MACHINERY ,ecial pinto beans. instructions ought to cajole even
486,Customer#000000486,2cXXa6MSx9CGU,21,31-787-534-8723,7487.40,AUTOMOBILE,"nstructions. unusual, special pinto beans sleep about the slyly pending requests. fu"
487,Customer#000000487,"oTc,l9dAf8O0qOOMP4P0WFTuGS",2,12-111-401-4259,9749.37,AUTOMOBILE,as. excuses use carefully carefully pending i
488,Customer#000000488,bBcMjFPTysSTaTdHcoO,3,13-513-778-1881,-275.58,AUTOMOBILE,thely above the carefully ironic accounts. excuse
489,Customer#000000489,GIdW4IVgeqWMBXnNFZGHS8kmhw,4,14-916-241-6195,8255.83,AUTOMOBILE,lar accounts. finally pending dependencies solve fluffily 
490,Customer#000000490," 66fG3Fyb946cVQsH9Z3VMNzR,yfHMKIEB",22,32-268-147-7824,-213.85,FURNITURE ,"ash carefully never bold instructions. regular, bold asymptotes cajole regularly. quickly bold foxes wak"
491,Customer#000000491,r3zPOuenxHl0oqInxWlEyLP1ZH,0,10-856-259-7548,785.37,AUTOMOBILE," slyly special requests hang dogged, express epitaphs."
492,Customer#000000492,"JexAgMLuUHoElYFaKx,hJcAP1b1GknYoYHQLyx",8,18-686-244-1077,8635.18,AUTOMOBILE,gle furiously furiously final packages. carefully bold pinto beans promise quickly alongside of the close
493,Customer#000000493,G dRBjxmBBug1 xRSa6VwRchFDtU5b,16,26-514-558-7246,6582.04,MACHINERY ,er the furiously express excuses use above the regular accounts. regular instructions after the 
494,Customer#000000494,GKgTjHFlQrDZWcketSqhZCopBhmChknI,10,20-330-453-6579,6295.47,FURNITURE ,"al courts. regular, ironic requests serve furiously. pending"
495,Customer#000000495,QhFbEv6KbQIwfZs 1krt1eACKI31v3iyM,7,17-400-405-6060,7997.81,BUILDING  , dependencies. silent accounts cajole quickly furiously pendin
496,Customer#000000496,Y8oYLlHme6Z4fEzkTu,12,22-173-644-7922,8174.82,MACHINERY , quickly bold packages. decoys among the blithely pending accounts lose according to the deposits.
497,Customer#000000497,0 qRRXAxUbo1J KDwDMjFde5fXDwn ,23,33-937-724-3506,2191.59,BUILDING  ,fluffy ideas detect carefully 
